Dem,GOP,State,Vote by county
963,252,Massachusetts,
996,185,Massachusetts,
976,142,Massachusetts,
710,382,Massachusetts,
865,249,Massachusetts,
460,611,Massachusetts,
435,633,Massachusetts,
414,661,Massachusetts,
813,230,Massachusetts,
836,184,Massachusetts,
629,408,Massachusetts,
606,403,Massachusetts,
700,230,Massachusetts,
374,550,Massachusetts,
568,367,Massachusetts,
582,328,Massachusetts,
365,550,Massachusetts,
696,218,Massachusetts,
335,548,Massachusetts,
579,259,Massachusetts,
431,407,Massachusetts,
513,257,Massachusetts,
738,98,Massachusetts,
659,178,Massachusetts,
510,327,Massachusetts,
564,218,Massachusetts,
621,147,Massachusetts,
278,480,Massachusetts,
416,312,Massachusetts,
389,289,Massachusetts,
617,94,Massachusetts,
430,229,Massachusetts,
397,267,Massachusetts,
406,227,Massachusetts,
256,404,Massachusetts,
313,321,Massachusetts,
238,372,Massachusetts,
364,213,Massachusetts,
246,326,Massachusetts,
337,208,Massachusetts,
402,104,Massachusetts,
334,156,Massachusetts,
417,88,Massachusetts,
199,281,Massachusetts,
313,159,Massachusetts,
255,207,Massachusetts,
306,139,Massachusetts,
254,190,Massachusetts,
271,142,Massachusetts,
244,165,Massachusetts,
263,107,Massachusetts,
190,170,Massachusetts,
184,163,Massachusetts,
189,159,Massachusetts,
217,89,Massachusetts,
101,190,Massachusetts,
155,115,Massachusetts,
226,52,Massachusetts,
201,70,Massachusetts,
231,34,Massachusetts,
122,99,Massachusetts,
105,67,Massachusetts,
101,39,Massachusetts,
76,19,Massachusetts,
36,27,Massachusetts,
25,26,Massachusetts,
517022,228313,Michigan,Wayne
342976,289127,Michigan,Oakland
176238,224589,Michigan,Macomb
138567,147959,Michigan,Kent
102744,84174,Michigan,Genesee
128025,50335,Michigan,Washtenaw
46276,90456,Michigan,Ottawa
81266,44354,Michigan,Ingham
67142,51031,Michigan,Kalamazoo
34378,65665,Michigan,Livingston
44395,45469,Michigan,Saginaw
24553,49067,Michigan,St. Clair
36640,35962,Michigan,Muskegon
26859,43255,Michigan,Monroe
29496,38646,Michigan,Berrien
25795,39793,Michigan,Jackson
24154,31489,Michigan,Calhoun
24534,27608,Michigan,Eaton
17932,33812,Michigan,Allegan
21641,28327,Michigan,Bay
20964,27412,Michigan,Grand Traverse
16750,26428,Michigan,Lenawee
12734,30037,Michigan,Lapeer
15655,23877,Michigan,Midland
16490,21635,Michigan,Clinton
12547,19232,Michigan,Shiawassee
13258,17890,Michigan,Van Buren
16042,14646,Michigan,Marquette
9109,19197,Michigan,Barry
7874,16907,Michigan,Montcalm
8206,16374,Michigan,Ionia
7493,17421,Michigan,Tuscola
11404,12338,Michigan,Isabella
7529,14886,Michigan,St. Joseph
7270,14241,Michigan,Cass
6212,15174,Michigan,Newaygo
4799,14094,Michigan,Hillsdale
4873,13446,Michigan,Sanilac
6972,10616,Michigan,Emmet
6431,11112,Michigan,Delta
5827,10305,Michigan,Mecosta
4740,11025,Michigan,Branch
5665,9878,Michigan,Gratiot
4579,10629,Michigan,Huron
6018,8475,Michigan,Houghton
5378,9120,Michigan,Chippewa
4436,10000,Michigan,Wexford
6774,7239,Michigan,Leelanau
4877,9090,Michigan,Alpena
5281,8505,Michigan,Mason
5137,8674,Michigan,Charlevoix
4302,8680,Michigan,Cheboygan
4448,8469,Michigan,Antrim
4250,8507,Michigan,Clare
4344,8344,Michigan,Iosco
3923,8580,Michigan,Dickinson
4287,8141,Michigan,Roscommon
4979,6915,Michigan,Manistee
3556,8266,Michigan,Otsego
3794,8124,Michigan,Gladwin
3973,7228,Michigan,Oceana
3539,6704,Michigan,Menominee
2705,7336,Michigan,Osceola
3030,6827,Michigan,Ogemaw
4108,5539,Michigan,Benzie
2279,6213,Michigan,Kalkaska
2238,4704,Michigan,Arenac
2925,4019,Michigan,Gogebic
1565,5386,Michigan,Missaukee
2400,4486,Michigan,Presque Isle
2110,4354,Michigan,Crawford
1732,4201,Michigan,Alcona
2085,3740,Michigan,Mackinac
2004,3675,Michigan,Iron
1939,3159,Michigan,Lake
1286,3498,Michigan,Montmorency
1663,2585,Michigan,Alger
1369,2556,Michigan,Schoolcraft
1044,2843,Michigan,Oscoda
1156,2158,Michigan,Baraga
1175,2069,Michigan,Ontonagon
681,1756,Michigan,Luce
527,814,Michigan,Keweenaw
429283,191768,Minnesota,Hennepin
176929,70778,Minnesota,Ramsey
110251,99624,Minnesota,Dakota
75499,93341,Minnesota,Anoka
67086,64429,Minnesota,Washington
57769,44631,Minnesota,St. Louis
36266,35668,Minnesota,Olmsted
25575,47618,Minnesota,Stearns
28502,39948,Minnesota,Scott
20336,43274,Minnesota,Wright
21514,29063,Minnesota,Carver
13299,31049,Minnesota,Sherburne
10982,22287,Minnesota,Crow Wing
14428,15667,Minnesota,Blue Earth
9339,20939,Minnesota,Otter Tail
14437,15429,Minnesota,Rice
9279,18441,Minnesota,Chisago
12945,13522,Minnesota,Clay
11366,12122,Minnesota,Winona
9446,14041,Minnesota,Goodhue
9015,12920,Minnesota,Itasca
7266,12785,Minnesota,Kandiyohi
6227,13966,Minnesota,Douglas
8688,10783,Minnesota,Beltrami
5656,13635,Minnesota,Isanti
5640,12872,Minnesota,Benton
6239,11198,Minnesota,Steele
4978,12155,Minnesota,McLeod
8460,8160,Minnesota,Carlton
7886,8436,Minnesota,Nicollet
7444,8826,Minnesota,Mower
3637,12925,Minnesota,Morrison
5208,10880,Minnesota,Becker
6041,8808,Minnesota,Freeborn
4949,9982,Minnesota,Cass
4623,9182,Minnesota,Le Sueur
4712,8979,Minnesota,Polk
4580,8191,Minnesota,Pine
3763,8708,Minnesota,Brown
3709,8340,Minnesota,Mille Lacs
3192,8103,Minnesota,Meeker
3825,7257,Minnesota,Lyon
2783,8485,Minnesota,Todd
3866,6989,Minnesota,Wabasha
3432,7269,Minnesota,Hubbard
3872,6271,Minnesota,Fillmore
3102,6527,Minnesota,Dodge
4145,5616,Minnesota,Houston
2733,7062,Minnesota,Martin
2838,5967,Minnesota,Waseca
3134,5516,Minnesota,Aitkin
2733,5299,Minnesota,Nobles
2327,5230,Minnesota,Kanabec
1856,5451,Minnesota,Roseau
1954,5193,Minnesota,Sibley
1887,5137,Minnesota,Redwood
2117,4890,Minnesota,Renville
2153,4659,Minnesota,Faribault
1684,4837,Minnesota,Wadena
2146,4000,Minnesota,Pennington
3077,2932,Minnesota,Lake
2306,3569,Minnesota,Koochiching
2106,3793,Minnesota,Pope
1978,3764,Minnesota,Chippewa
1678,3679,Minnesota,Cottonwood
1492,3609,Minnesota,Jackson
2116,2800,Minnesota,Stevens
1524,3382,Minnesota,Yellow Medicine
1814,2768,Minnesota,Watonwan
1679,2962,Minnesota,Swift
1373,3091,Minnesota,Rock
1225,3208,Minnesota,Marshall
1127,3338,Minnesota,Pipestone
1295,2974,Minnesota,Murray
1100,2925,Minnesota,Clearwater
1301,2294,Minnesota,Lac Qui Parle
1104,2063,Minnesota,Grant
1912,1156,Minnesota,Cook
893,2129,Minnesota,Wilkin
1264,1699,Minnesota,Norman
860,1930,Minnesota,Lincoln
921,1607,Minnesota,Big Stone
823,1349,Minnesota,Kittson
553,1540,Minnesota,Lake of the Woods
930,991,Minnesota,Mahnomen
540,1141,Minnesota,Red Lake
631,1050,Minnesota,Traverse
64922,24919,Mississippi,Hinds
19892,42155,Mississippi,DeSoto
20679,39710,Mississippi,Harrison
13741,46168,Mississippi,Rankin
13087,31204,Mississippi,Jackson
18358,25607,Mississippi,Madison
9635,21695,Mississippi,Lee
10910,17574,Mississippi,Lauderdale
7748,20076,Mississippi,Jones
11271,15149,Mississippi,Forrest
11545,13124,Mississippi,Lowndes
5044,18493,Mississippi,Lamar
7968,10872,Mississippi,Lafayette
2919,15530,Mississippi,Pearl River
8518,9420,Mississippi,Warren
3320,13720,Mississippi,Hancock
7851,7671,Mississippi,Oktibbeha
5485,10107,Mississippi,Monroe
7636,7748,Mississippi,Pike
4458,10550,Mississippi,Lincoln
7300,7371,Mississippi,Panola
2684,11817,Mississippi,Alcorn
7944,6525,Mississippi,Marshall
9847,4541,Mississippi,Washington
8410,4251,Mississippi,Bolivar
6921,5125,Mississippi,Adams
6203,5576,Mississippi,Copiah
2123,9442,Mississippi,Pontotoc
3572,7697,Mississippi,Marion
3871,7393,Mississippi,Simpson
3804,7385,Mississippi,Tate
1969,9161,Mississippi,Union
4386,5940,Mississippi,Grenada
2668,7613,Mississippi,Neshoba
5695,4136,Mississippi,Clay
5221,4568,Mississippi,Yazoo
2067,7647,Mississippi,Prentiss
3999,5742,Mississippi,Scott
1013,8652,Mississippi,George
1100,8385,Mississippi,Itawamba
6677,2757,Mississippi,Leflore
3493,5957,Mississippi,Wayne
6560,2768,Mississippi,Sunflower
1808,7182,Mississippi,Tippah
6378,2426,Mississippi,Coahoma
3267,5423,Mississippi,Covington
3778,4874,Mississippi,Winston
2549,5929,Mississippi,Newton
4367,4032,Mississippi,Jasper
3579,4775,Mississippi,Leake
990,7117,Mississippi,Tishomingo
3649,4127,Mississippi,Chickasaw
2556,5088,Mississippi,Clarke
1598,5877,Mississippi,Smith
2847,4288,Mississippi,Attala
5820,1151,Mississippi,Holmes
2688,4282,Mississippi,Amite
1400,4810,Mississippi,Stone
1884,4360,Mississippi,Calhoun
2181,4072,Mississippi,Lawrence
3720,2466,Mississippi,Jeff Davis
2574,3366,Mississippi,Yalobusha
2475,3374,Mississippi,Walthall
3337,2462,Mississippi,Tallahatchie
4330,1181,Mississippi,Noxubee
1648,3774,Mississippi,Carroll
1220,4135,Mississippi,Perry
956,4309,Mississippi,Greene
1001,3949,Mississippi,Webster
2827,1778,Mississippi,Kemper
1471,2685,Mississippi,Franklin
2826,1305,Mississippi,Wilkinson
1775,2334,Mississippi,Montgomery
1198,2763,Mississippi,Choctaw
1713,2240,Mississippi,Benton
3337,489,Mississippi,Jefferson
2652,924,Mississippi,Humphreys
2577,840,Mississippi,Tunica
2303,998,Mississippi,Quitman
2523,414,Mississippi,Claiborne
1290,619,Mississippi,Sharkey
395,298,Mississippi,Issaquena
280866,199081,Missouri,St. Louis County
163723,114777,Missouri,Jackson
68225,120899,Missouri,St. Charles
42400,77387,Missouri,Greene
101487,20281,Missouri,St. Louis City
45182,57328,Missouri,Clay
31546,68973,Missouri,Jefferson
41072,36146,Missouri,Boone
14816,33006,Missouri,Cass
12339,35420,Missouri,Franklin
10565,35058,Missouri,Jasper
18915,24975,Missouri,Platte
8505,30941,Missouri,Christian
10907,24610,Missouri,Cole
8468,26939,Missouri,Cape Girardeau
12010,21315,Missouri,Buchanan
4988,20546,Missouri,Newton
5561,18111,Missouri,Lincoln
6250,17467,Missouri,St. Francois
4367,18240,Missouri,Taney
4706,16721,Missouri,Camden
5924,13702,Missouri,Johnson
4988,13052,Missouri,Callaway
4761,12699,Missouri,Phelps
4322,12792,Missouri,Pettis
2880,13888,Missouri,Howell
3574,13168,Missouri,Scott
3036,13647,Missouri,Butler
2918,9870,Missouri,Pulaski
3173,12829,Missouri,Webster
2898,13084,Missouri,Lawrence
2886,13149,Missouri,Stone
2543,12834,Missouri,LaClede
4047,10977,Missouri,Lafayette
3915,11109,Missouri,Warren
2710,11427,Missouri,Barry
2630,10435,Missouri,Polk
1873,11077,Missouri,Stoddard
2993,9418,Missouri,Marion
1750,9285,Missouri,Miller
1728,8875,Missouri,Texas
3088,7103,Missouri,Ray
2360,8026,Missouri,Dunklin
2283,7529,Missouri,Randolph
2572,7058,Missouri,Clinton
3495,6019,Missouri,Adair
2567,6981,Missouri,Audrain
1824,7724,Missouri,Crawford
2356,7072,Missouri,Henry
2024,7212,Missouri,Benton
2529,6379,Missouri,Nodaway
1926,7047,Missouri,Washington
2787,5977,Missouri,Saline
2045,6665,Missouri,Andrew
1768,6757,Missouri,Morgan
1520,6907,Missouri,Perry
1706,6526,Missouri,Vernon
2540,5495,Missouri,Ste. Genevieve
1329,6599,Missouri,McDonald
1166,6703,Missouri,Wright
1617,6000,Missouri,Bates
1932,5623,Missouri,Cooper
1518,5794,Missouri,Macon
1519,5670,Missouri,Gasconade
1271,5895,Missouri,Dallas
1806,5274,Missouri,Pike
1933,5270,Missouri,New Madrid
998,5845,Missouri,Osage
1237,5344,Missouri,Moniteau
978,5599,Missouri,Dent
984,5486,Missouri,Douglas
1265,4879,Missouri,Livingston
1010,5019,Missouri,Cedar
1946,3964,Missouri,Pemiscot
795,4958,Missouri,Barton
946,4640,Missouri,Wayne
705,4827,Missouri,Bollinger
1239,4084,Missouri,Linn
830,4520,Missouri,Ripley
1118,4124,Missouri,Montgomery
1005,4102,Missouri,Madison
1138,3969,Missouri,Ralls
1458,3600,Missouri,Mississippi
1279,3277,Missouri,Howard
1016,3539,Missouri,Hickory
865,3668,Missouri,Oregon
936,3501,Missouri,St. Clair
824,3540,Missouri,DeKalb
724,3639,Missouri,Ozark
794,3559,Missouri,Maries
933,3343,Missouri,Lewis
780,3462,Missouri,Grundy
745,3480,Missouri,Carroll
837,3231,Missouri,Caldwell
933,3173,Missouri,Iron
853,3159,Missouri,Monroe
888,2948,Missouri,Chariton
637,3184,Missouri,Dade
776,2966,Missouri,Shannon
730,2763,Missouri,Daviess
574,2965,Missouri,Harrison
724,2458,Missouri,Clark
606,2524,Missouri,Shelby
605,2304,Missouri,Gentry
540,2402,Missouri,Reynolds
436,2323,Missouri,Carter
541,2059,Missouri,Atchison
526,1884,Missouri,Sullivan
346,1926,Missouri,Holt
352,1936,Missouri,Putnam
365,1525,Missouri,Scotland
354,1505,Missouri,Schuyler
379,1413,Missouri,Knox
216,1486,Missouri,Mercer
195,808,Missouri,Worth
21117,38675,Montana,Yellowstone
30740,21699,Montana,Missoula
23879,23360,Montana,Gallatin
13233,30079,Montana,Flathead
12053,19343,Montana,Cascade
14331,16665,Montana,Lewis and Clark
6166,14673,Montana,Ravalli
8545,6252,Montana,Silver Bow
4703,7453,Montana,Lake
2040,6720,Montana,Lincoln
3521,4872,Montana,Park
1975,4099,Montana,Jefferson
2350,3446,Montana,Hill
1824,3729,Montana,Carbon
1211,4268,Montana,Sanders
1196,4235,Montana,Fergus
1172,3638,Montana,Custer
3076,1598,Montana,Glacier
904,3630,Montana,Stillwater
669,3885,Montana,Richland
1175,3280,Montana,Madison
1115,3243,Montana,Beaverhead
786,3298,Montana,Dawson
2061,1833,Montana,Big Horn
2018,1736,Montana,Deer Lodge
886,2697,Montana,Valley
1504,1722,Montana,Roosevelt
969,2211,Montana,Rosebud
803,2152,Montana,Teton
566,2329,Montana,Broadwater
549,2017,Montana,Powell
737,1786,Montana,Pondera
1187,1259,Montana,Blaine
729,1676,Montana,Chouteau
331,1961,Montana,Musselshell
315,1715,Montana,Phillips
398,1580,Montana,Sweet Grass
399,1495,Montana,Toole
515,1322,Montana,Mineral
476,1237,Montana,Sheridan
469,1185,Montana,Granite
154,1276,Montana,Fallon
232,867,Montana,Judith Basin
154,858,Montana,McCone
127,880,Montana,Powder River
191,728,Montana,Meagher
167,729,Montana,Daniels
205,695,Montana,Liberty
179,698,Montana,Wheatland
70,677,Montana,Carter
34,653,Montana,Garfield
100,555,Montana,Prairie
55,460,Montana,Wibaux
71,365,Montana,Golden Valley
59,350,Montana,Treasure
30,276,Montana,Petroleum
105207,102151,Nebraska,Douglas
60533,60456,Nebraska,Lancaster
27704,44649,Nebraska,Sarpy
6142,14139,Nebraska,Hall
4690,14424,Nebraska,Buffalo
2878,11992,Nebraska,Lincoln
4451,9736,Nebraska,Dodge
2612,10864,Nebraska,Platte
2663,10518,Nebraska,Madison
3151,9952,Nebraska,Scotts Bluff
3272,9205,Nebraska,Adams
3461,8388,Nebraska,Cass
2509,7486,Nebraska,Saunders
2606,7374,Nebraska,Washington
2930,6333,Nebraska,Gage
2116,5935,Nebraska,Dawson
1881,5451,Nebraska,Seward
2017,4833,Nebraska,Otoe
2904,4028,Nebraska,Dakota
1181,4686,Nebraska,York
635,4616,Nebraska,Custer
638,4212,Nebraska,Red Willow
522,4275,Nebraska,Holt
873,3763,Nebraska,Hamilton
1630,2849,Nebraska,Saline
953,3550,Nebraska,Box Butte
571,3832,Nebraska,Phelps
702,3610,Nebraska,Cheyenne
572,3533,Nebraska,Cedar
715,3181,Nebraska,Knox
712,3095,Nebraska,Cuming
560,3203,Nebraska,Keith
690,3068,Nebraska,Butler
828,2675,Nebraska,Wayne
601,2914,Nebraska,Merrick
798,2684,Nebraska,Richardson
382,3052,Nebraska,Pierce
785,2559,Nebraska,Dawes
928,2360,Nebraska,Burt
831,2387,Nebraska,Jefferson
550,2519,Nebraska,Kearney
381,2717,Nebraska,Antelope
857,2171,Nebraska,Colfax
317,2623,Nebraska,Cherry
765,2068,Nebraska,Nemaha
470,2373,Nebraska,Clay
544,2284,Nebraska,Howard
610,2100,Nebraska,Fillmore
414,2299,Nebraska,Boone
417,2173,Nebraska,Stanton
556,2041,Nebraska,Dixon
490,1993,Nebraska,Thayer
286,2192,Nebraska,Sheridan
411,2019,Nebraska,Polk
304,1915,Nebraska,Furnas
337,1770,Nebraska,Valley
282,1788,Nebraska,Morrill
348,1709,Nebraska,Nuckolls
560,1348,Nebraska,Johnson
911,1013,Nebraska,Thurston
171,1621,Nebraska,Chase
306,1320,Nebraska,Webster
250,1345,Nebraska,Franklin
227,1317,Nebraska,Kimball
280,1257,Nebraska,Nance
219,1302,Nebraska,Harlan
153,1380,Nebraska,Brown
338,1143,Nebraska,Sherman
158,1216,Nebraska,Hitchcock
160,1202,Nebraska,Perkins
279,970,Nebraska,Pawnee
161,1106,Nebraska,Frontier
210,911,Nebraska,Greeley
128,978,Nebraska,Boyd
153,869,Nebraska,Garden
165,792,Nebraska,Gosper
120,809,Nebraska,Deuel
121,819,Nebraska,Garfield
89,823,Nebraska,Dundy
70,687,Nebraska,Rock
77,602,Nebraska,Sioux
39,458,Nebraska,Keya Paha
30,471,Nebraska,Hayes
62,377,Nebraska,Wheeler
32,400,Nebraska,Logan
40,355,Nebraska,Hooker
20,367,Nebraska,Grant
18,355,Nebraska,Banner
30,344,Nebraska,Thomas
48,323,Nebraska,Loup
30,273,Nebraska,Blaine
14,257,Nebraska,McPherson
16,237,Nebraska,Arthur
401068,319571,Nevada,Clark
97032,94529,Nevada,Washoe
8453,17406,Nevada,Douglas
9610,13125,Nevada,Carson City
6146,16005,Nevada,Lyon
5095,13320,Nevada,Nye
3400,13542,Nevada,Elko
2210,7828,Nevada,Churchill
1386,4521,Nevada,Humboldt
707,2723,Nevada,White Pine
752,1616,Nevada,Storey
403,1828,Nevada,Lander
285,1671,Nevada,Lincoln
637,1179,Nevada,Mineral
430,1403,Nevada,Pershing
74,723,Nevada,Eureka
65,329,Nevada,Esmeralda
24700,21414,New Hampshire,
22690,17476,New Hampshire,
12884,7776,New Hampshire,
10118,6015,New Hampshire,
6825,9237,New Hampshire,
6068,9312,New Hampshire,
6267,7789,New Hampshire,
6405,7397,New Hampshire,
5968,7338,New Hampshire,
5851,6816,New Hampshire,
5306,7220,New Hampshire,
8911,3632,New Hampshire,
7932,3831,New Hampshire,
4953,4802,New Hampshire,
4146,5009,New Hampshire,
6501,2450,New Hampshire,
5514,3286,New Hampshire,
3507,4825,New Hampshire,
3816,3850,New Hampshire,
3436,4225,New Hampshire,
3303,4303,New Hampshire,
6561,926,New Hampshire,
2719,4624,New Hampshire,
3777,3271,New Hampshire,
4898,1841,New Hampshire,
2529,2680,New Hampshire,
1966,3186,New Hampshire,
3157,1836,New Hampshire,
1921,3151,New Hampshire,
2743,2301,New Hampshire,
2642,2388,New Hampshire,
2375,2469,New Hampshire,
2529,2310,New Hampshire,
1734,2957,New Hampshire,
2570,2119,New Hampshire,
1923,2720,New Hampshire,
2593,2005,New Hampshire,
1973,2504,New Hampshire,
1595,2743,New Hampshire,
1671,2595,New Hampshire,
1672,2531,New Hampshire,
1871,2176,New Hampshire,
1709,2160,New Hampshire,
2211,1579,New Hampshire,
1625,2117,New Hampshire,
1810,1919,New Hampshire,
1954,1766,New Hampshire,
2487,1179,New Hampshire,
2240,1427,New Hampshire,
1807,1828,New Hampshire,
2143,1394,New Hampshire,
1487,2049,New Hampshire,
1422,2081,New Hampshire,
1272,2192,New Hampshire,
1207,2144,New Hampshire,
1307,2031,New Hampshire,
1152,2201,New Hampshire,
1292,1961,New Hampshire,
1381,1792,New Hampshire,
1136,1950,New Hampshire,
1148,1888,New Hampshire,
1562,1448,New Hampshire,
1417,1501,New Hampshire,
1127,1785,New Hampshire,
1198,1588,New Hampshire,
1092,1727,New Hampshire,
1365,1511,New Hampshire,
1085,1665,New Hampshire,
1765,1094,New Hampshire,
1091,1607,New Hampshire,
1239,1436,New Hampshire,
769,1894,New Hampshire,
1311,1284,New Hampshire,
873,1741,New Hampshire,
991,1593,New Hampshire,
965,1591,New Hampshire,
1429,1060,New Hampshire,
1630,824,New Hampshire,
919,1546,New Hampshire,
924,1520,New Hampshire,
1396,1074,New Hampshire,
1056,1385,New Hampshire,
860,1580,New Hampshire,
855,1553,New Hampshire,
1145,1267,New Hampshire,
1445,931,New Hampshire,
1109,1289,New Hampshire,
884,1330,New Hampshire,
1041,1159,New Hampshire,
847,1339,New Hampshire,
788,1333,New Hampshire,
1028,1061,New Hampshire,
874,1203,New Hampshire,
770,1294,New Hampshire,
1166,910,New Hampshire,
785,1186,New Hampshire,
928,1044,New Hampshire,
1169,755,New Hampshire,
1265,699,New Hampshire,
691,1125,New Hampshire,
1094,730,New Hampshire,
748,1035,New Hampshire,
938,850,New Hampshire,
890,870,New Hampshire,
833,929,New Hampshire,
780,973,New Hampshire,
681,1026,New Hampshire,
874,790,New Hampshire,
840,829,New Hampshire,
917,733,New Hampshire,
578,981,New Hampshire,
674,891,New Hampshire,
626,900,New Hampshire,
739,761,New Hampshire,
657,841,New Hampshire,
769,711,New Hampshire,
646,851,New Hampshire,
672,822,New Hampshire,
815,671,New Hampshire,
608,830,New Hampshire,
770,693,New Hampshire,
757,686,New Hampshire,
668,748,New Hampshire,
736,651,New Hampshire,
957,458,New Hampshire,
721,654,New Hampshire,
796,573,New Hampshire,
703,673,New Hampshire,
642,668,New Hampshire,
544,737,New Hampshire,
621,662,New Hampshire,
704,546,New Hampshire,
577,623,New Hampshire,
607,560,New Hampshire,
713,433,New Hampshire,
890,232,New Hampshire,
711,408,New Hampshire,
499,602,New Hampshire,
603,474,New Hampshire,
632,422,New Hampshire,
472,563,New Hampshire,
504,520,New Hampshire,
470,503,New Hampshire,
383,586,New Hampshire,
522,444,New Hampshire,
359,593,New Hampshire,
555,411,New Hampshire,
598,370,New Hampshire,
570,400,New Hampshire,
422,509,New Hampshire,
387,539,New Hampshire,
578,360,New Hampshire,
442,485,New Hampshire,
471,444,New Hampshire,
425,476,New Hampshire,
343,546,New Hampshire,
379,493,New Hampshire,
289,602,New Hampshire,
433,414,New Hampshire,
499,342,New Hampshire,
365,457,New Hampshire,
405,400,New Hampshire,
306,477,New Hampshire,
317,481,New Hampshire,
408,367,New Hampshire,
344,422,New Hampshire,
288,490,New Hampshire,
327,422,New Hampshire,
281,473,New Hampshire,
481,279,New Hampshire,
350,378,New Hampshire,
378,335,New Hampshire,
298,414,New Hampshire,
483,233,New Hampshire,
417,256,New Hampshire,
267,423,New Hampshire,
324,357,New Hampshire,
267,397,New Hampshire,
262,395,New Hampshire,
247,400,New Hampshire,
226,428,New Hampshire,
247,386,New Hampshire,
446,202,New Hampshire,
430,212,New Hampshire,
269,357,New Hampshire,
216,357,New Hampshire,
271,292,New Hampshire,
246,315,New Hampshire,
274,240,New Hampshire,
176,341,New Hampshire,
211,292,New Hampshire,
175,323,New Hampshire,
237,244,New Hampshire,
192,280,New Hampshire,
173,291,New Hampshire,
213,245,New Hampshire,
121,343,New Hampshire,
180,261,New Hampshire,
197,231,New Hampshire,
156,262,New Hampshire,
219,200,New Hampshire,
153,260,New Hampshire,
175,238,New Hampshire,
259,138,New Hampshire,
237,159,New Hampshire,
126,271,New Hampshire,
195,182,New Hampshire,
196,172,New Hampshire,
184,197,New Hampshire,
179,175,New Hampshire,
95,231,New Hampshire,
109,219,New Hampshire,
112,196,New Hampshire,
126,169,New Hampshire,
98,186,New Hampshire,
157,109,New Hampshire,
132,126,New Hampshire,
150,99,New Hampshire,
125,116,New Hampshire,
160,79,New Hampshire,
105,127,New Hampshire,
132,94,New Hampshire,
51,136,New Hampshire,
79,103,New Hampshire,
54,135,New Hampshire,
118,65,New Hampshire,
72,105,New Hampshire,
68,95,New Hampshire,
65,99,New Hampshire,
73,85,New Hampshire,
72,58,New Hampshire,
28,94,New Hampshire,
26,24,New Hampshire,
17,14,New Hampshire,
4,16,New Hampshire,
5,13,New Hampshire,
4,2,New Hampshire,
209251,163220,New Jersey,Bergen
135825,165305,New Jersey,Monmouth
231031,62059,New Jersey,Essex
164887,108981,New Jersey,Middlesex
81845,170103,New Jersey,Ocean
114437,125376,New Jersey,Morris
148009,44911,New Jersey,Hudson
132590,62437,New Jersey,Union
107485,79085,New Jersey,Burlington
112608,71488,New Jersey,Passaic
117308,59716,New Jersey,Camden
83839,64640,New Jersey,Somerset
93721,42604,New Jersey,Mercer
66355,66949,New Jersey,Gloucester
54175,47741,New Jersey,Atlantic
24132,46486,New Jersey,Sussex
28797,38565,New Jersey,Hunterdon
26090,23363,New Jersey,Cumberland
16991,29393,New Jersey,Warren
18626,28237,New Jersey,Cape May
11766,16256,New Jersey,Salem
141960,93874,New Mexico,Bernalillo
49956,14198,New Mexico,Santa Fe
37543,25095,New Mexico,Dona Ana
27405,25748,New Mexico,Sandoval
12826,27879,New Mexico,San Juan
10810,13175,New Mexico,Valencia
13162,4893,New Mexico,McKinley
5530,12869,New Mexico,Chaves
6033,11756,New Mexico,Otero
5008,13124,New Mexico,Eddy
3877,12306,New Mexico,Lea
10550,2706,New Mexico,Taos
9534,3583,New Mexico,Rio Arriba
6226,5251,New Mexico,Grant
2776,7560,New Mexico,Curry
5443,3329,New Mexico,Los Alamos
7249,2302,New Mexico,San Miguel
2329,5889,New Mexico,Lincoln
3721,3179,New Mexico,Cibola
3195,3478,New Mexico,Luna
3275,2592,New Mexico,Socorro
1770,3695,New Mexico,Torrance
1445,3865,New Mexico,Roosevelt
2118,2569,New Mexico,Colfax
1600,2998,New Mexico,Sierra
1016,2208,New Mexico,Quay
1533,662,New Mexico,Mora
426,1453,New Mexico,Catron
780,906,New Mexico,Hidalgo
962,591,New Mexico,Guadalupe
318,1214,New Mexico,Union
192,617,New Mexico,DeBaca
156,311,New Mexico,Harding
595086,133653,New York,Brooklyn
473389,138550,New York,Queens
276953,328403,New York,Suffolk
515481,58935,New York,Manhattan
307326,275479,New York,Nassau
192065,173817,New York,Erie
245670,121643,New York,Westchester
318403,34424,New York,Bronx
174063,128871,New York,Monroe
102915,78277,New York,Onondaga
67561,95612,New York,Staten Island
63037,72129,New York,Orange
74775,44227,New York,Albany
63454,57148,New York,Rockland
56874,58163,New York,Dutchess
46546,51088,New York,Saratoga
32888,49223,New York,Niagara
30749,48490,New York,Oneida
35212,38077,New York,Broome
40010,32962,New York,Ulster
30039,31933,New York,Rensselaer
30870,27268,New York,Schenectady
17176,29042,New York,Chautauqua
20040,24237,New York,Ontario
17363,25241,New York,Putnam
15614,25870,New York,Oswego
11215,25091,New York,Steuben
25555,9647,New York,Tompkins
12378,21935,New York,Wayne
14659,18450,New York,Saint Lawrence
12289,19947,New York,Jefferson
12394,19025,New York,Chemung
12202,16194,New York,Cayuga
10478,17112,New York,Livingston
8717,18668,New York,Cattaraugus
13446,13181,New York,Clinton
11366,14284,New York,Warren
10548,14901,New York,Madison
13123,12756,New York,Columbia
10983,14626,New York,Sullivan
6946,15986,New York,Genesee
7289,15664,New York,Herkimer
9285,12284,New York,Otsego
8238,12770,New York,Washington
